source_quipu,consumer_quipu,hops,kind
a2e9f2ebe1ceeae368b734fcd861549c813d5cfb009093237f86b71f0048bda7,c1542c10399a09a5471799133c472a6652d5cb3b7b421e1a7e80e2039f5b393b,2,funding
c1542c10399a09a5471799133c472a6652d5cb3b7b421e1a7e80e2039f5b393b,a01e8625d653f4a8686b5b9e20ca653e59ebcd8bf2ca2a7b8370fdc52417f7b9,2,funding
a01e8625d653f4a8686b5b9e20ca653e59ebcd8bf2ca2a7b8370fdc52417f7b9,9e42c7ab6f47dadc0c36d22fb20f69c9db0daa5c719cd8ff83c8ecf250efa519,4,funding
9e42c7ab6f47dadc0c36d22fb20f69c9db0daa5c719cd8ff83c8ecf250efa519,dcd31fa39202c9018dfb28e17da108dd3bd6b98ffc1cd30040f636012e3236ee,3,funding
dcd31fa39202c9018dfb28e17da108dd3bd6b98ffc1cd30040f636012e3236ee,014123b21a99b50e28219522af50a7a970dd3f8feeb0dd1d07e4ab2d384b40d1,2,funding
014123b21a99b50e28219522af50a7a970dd3f8feeb0dd1d07e4ab2d384b40d1,d68175766b70f7163aec93e5a4e81480a6c6dd51d0577319d6f3392e8725f53b,4,funding
d68175766b70f7163aec93e5a4e81480a6c6dd51d0577319d6f3392e8725f53b,d0209a0f85872d6826c58bc23fab37c8b21feb22c15a5a6469f45358fb78ba41,3,funding
d0209a0f85872d6826c58bc23fab37c8b21feb22c15a5a6469f45358fb78ba41,89b51b4852b0e80f49cdb229d85ef4757d943c9fe4ba62e39e886f31c70142c4,3,funding
89b51b4852b0e80f49cdb229d85ef4757d943c9fe4ba62e39e886f31c70142c4,f278e466012fb78422834742c6440c935f4cc2ef64e7228b7291891a27368367,2,funding
f278e466012fb78422834742c6440c935f4cc2ef64e7228b7291891a27368367,aa0c3ea6b38b2238725df2457eb328bbebd7d91ac5241c24de8ea11616c2bb6d,2,funding
1ec0ee9b27d6ab91169b28f3acdada51cab8eb03af8c2a7e128d122a2dba7d0c,62e8f73554688dddc919d0e9369c4788a8c3e8bf06f1247bc35e88a284355eac,3,funding
1ec0ee9b27d6ab91169b28f3acdada51cab8eb03af8c2a7e128d122a2dba7d0c,d46981477268a32b560f64249dfbb5d6c30a596ef71b0f87a8de1fcf14b9675f,3,funding
62e8f73554688dddc919d0e9369c4788a8c3e8bf06f1247bc35e88a284355eac,33a40fef2cec220c694a35f591b1d992d8d75bfe5b8bdc6bbccfa9eb78bfda04,3,funding
d46981477268a32b560f64249dfbb5d6c30a596ef71b0f87a8de1fcf14b9675f,b813e9282e3e23e9a3391f569fabdfd6bd130995dd6d1b4e4d3c193f8bbb6f75,3,funding
1ec0ee9b27d6ab91169b28f3acdada51cab8eb03af8c2a7e128d122a2dba7d0c,6da7a9a9d8d651c48e0a979ea6d1f00ce03cd1388ea390c5fa2050f9b2fb4910,4,funding
1ec0ee9b27d6ab91169b28f3acdada51cab8eb03af8c2a7e128d122a2dba7d0c,b92bbbf974ad7d1ba035d03b34ee455dadf4e85c365d841beb4443e55da0b66c,4,funding
b92bbbf974ad7d1ba035d03b34ee455dadf4e85c365d841beb4443e55da0b66c,2b01e2094c52bf99fb1e0d855af18eabafa0b8a3b331276a87dbefe98a932d6a,3,funding
2b01e2094c52bf99fb1e0d855af18eabafa0b8a3b331276a87dbefe98a932d6a,573de0984423d5426e1f09dae07cea2d851b80ea3eca6ad7afd0aaa9c0df72bf,3,funding
424538b815be4cdf85e4b74e3b222bb79c2f8b87ca125ba6f231cf2cabcc711c,c50b4881bb224b8f6a2d2ff7924dc10b3a9078ab5d50532309d5517f10a62f6b,3,funding
c50b4881bb224b8f6a2d2ff7924dc10b3a9078ab5d50532309d5517f10a62f6b,a025c2fc8de237d8f136b63b0aa002a643e30c5a5aa7e218841a405c8e8e90d8,3,funding
